Rank,University_Name,State,University_Type,Year,SS_Score,TOTAL FACULTY,UG4_2023-24,UG4_2022-23,UG4_2021-22,UG4_2020-21,UG4_2019-20,UG4_2018-19,UG5_2023-24,UG5_2022-23,UG5_2021-22,UG5_2020-21,UG5_2019-20,UG5_2018-19,PG2_2023-24,PG2_2022-23,PG2_2021-22,PG2_2020-21,PG2_2019-20,PG2_2018-19,PG3_2023-24,PG3_2022-23,PG3_2021-22,PG3_2020-21,PG3_2019-20,PG3_2018-19,PG_INTEGRATED_2023-24,PG_INTEGRATED_2022-23,PG_INTEGRATED_2021-22,PG_INTEGRATED_2020-21,PG_INTEGRATED_2019-20,PG_INTEGRATED_2018-19,TOTAL_SANCTIONED (Incl UG + PG),NE_UG4_Male,NE_UG4_Female,NE_UG4_Total,NE_UG4_WithinState,NE_UG4_OutsideState,NE_UG4_OutsideCountry,NE_UG4_EconomicallyBackward,NE_UG4_SociallyChallenged,NE_UG4_FeeReimb_State,NE_UG4_FeeReimb_Institute,NE_UG4_FeeReimb_Private,NE_UG4_NoFullReimb,NE_UG5_Male,NE_UG5_Female,NE_UG5_Total,NE_UG5_WithinState,NE_UG5_OutsideState,NE_UG5_OutsideCountry,NE_UG5_EconomicallyBackward,NE_UG5_SociallyChallenged,NE_UG5_FeeReimb_State,NE_UG5_FeeReimb_Institute,NE_UG5_FeeReimb_Private,NE_UG5_NoFullReimb,NE_PG2_Male,NE_PG2_Female,NE_PG2_Total,NE_PG2_WithinState,NE_PG2_OutsideState,NE_PG2_OutsideCountry,NE_PG2_EconomicallyBackward,NE_PG2_SociallyChallenged,NE_PG2_FeeReimb_State,NE_PG2_FeeReimb_Institute,NE_PG2_FeeReimb_Private,NE_PG2_NoFullReimb,NE_PG3_Male,NE_PG3_Female,NE_PG3_Total,NE_PG3_WithinState,NE_PG3_OutsideState,NE_PG3_OutsideCountry,NE_PG3_EconomicallyBackward,NE_PG3_SociallyChallenged,NE_PG3_FeeReimb_State,NE_PG3_FeeReimb_Institute,NE_PG3_FeeReimb_Private,NE_PG3_NoFullReimb,NE_PG_INTEGRATED_Male,NE_PG_INTEGRATED_Female,NE_PG_INTEGRATED_Total,NE_PG_INTEGRATED_WithinState,NE_PG_INTEGRATED_OutsideState,NE_PG_INTEGRATED_OutsideCountry,NE_PG_INTEGRATED_EconomicallyBackward,NE_PG_INTEGRATED_SociallyChallenged,NE_PG_INTEGRATED_FeeReimb_State,NE_PG_INTEGRATED_FeeReimb_Institute,NE_PG_INTEGRATED_FeeReimb_Private,NE_PG_INTEGRATED_NoFullReimb,TOTAL_ENROLLED,PhD_Grad_FT_2023-24,PhD_Grad_PT_2023-24,TOTAL_PHD_PURSUING,NT_UG4_total,NT_UG5_total,NT_PG2_total,NT_PG3_total,NT_PG_INTEGRATED_total,NT_total,NE_total,Occupancy,Female_total,OutsideState_total,OutsideCountry_total,EWS_total,SCSTOBC_total,FeeReimb_total,Female_ratio,Outside_state_ratio,International_ratio,EWS_ratio,SCSTOBC_ratio,FeeReimb_ratio,NP_total
1,Indian Institute of Technology,Chennai,Govt,2025,18.5,686,961,877,877,877,0,0,93,177,177,177,157,0,511,670,0,0,0,0,245,245,245,0,0,0,0,0,0,0,0,0,6289,2824,765,3589,667,2920,2,432,1876,208,1102,536,462,961,225,1186,309,877,0,157,503,38.0,416,110,96,995,176,1171,166,979,26,348,548,93,715,88,0,423,84,507,136,364,7,38,176,0,164,50,0,0,0,0,0,0,0,0,0,0,0,0,0,6453,1798,200,1998,3592,781,1181,735,0,6289,6453,1.0260772777866116,1250,5140,35,975,3103,3520.0,0.1937083527041686,0.7965287463195413,0.005423833875716721,0.1510925151092515,0.4808616147528281,0.5454827212149388,1998
2,Indian Institute of Technology,New Delhi,Govt,2025,16.45,677,1113,1093,1093,1071,0,0,116,116,116,126,123,0,1510,1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8131,3439,898,4337,429,3907,1,445,2175,0,1973,38,609,429,114,543,58,485,0,48,302,0.0,241,0,109,1620,397,2017,106,1853,58,161,864,0,511,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6897,2866,546,3412,4370,597,3164,0,0,8131,6897,0.8482351494281146,1409,6245,59,654,3341,2763.0,0.20429172103813253,0.9054661447005945,0.008554443961142525,0.09482383645063071,0.4844135131216471,0.4006089604175729,3412
3,Indian Institute of Technology,Mumbai,Govt,2025,18.5,792,1161,1059,1039,1030,0,0,80,182,202,211,178,0,1406,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7939,4170,994,5164,1443,3684,37,947,2668,1227,539,419,1430,901,208,1109,400,707,2,174,564,253.0,346,61,78,2144,409,2553,596,1957,0,275,1247,469,648,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8826,3523,466,3989,4289,853,2797,0,0,7939,8826,1.1117269177478273,1611,6348,39,1396,4479,3962.0,0.1825288919102651,0.7192386131883073,0.004418762746430999,0.1581690460004532,0.5074779061862679,0.4489009743938364,3989
4,Indian Institute of Technology,Kanpur,Govt,2025,18.18,579,1210,1210,1210,927,0,0,0,0,0,0,0,0,1041,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6589,3760,956,4716,1041,3675,0,290,2351,721,1764,0,156,0,0,0,0,0,0,0,0,0.0,0,0,0,1420,296,1716,688,1012,16,133,815,114,739,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6432,2068,43,2111,4557,0,2032,0,0,6589,6432,0.9761724085597208,1252,4687,16,423,3166,3338.0,0.19465174129353233,0.7287002487562189,0.0024875621890547263,0.06576492537313433,0.49222636815920395,0.5189676616915423,2111
5,Indian Institute of Technology,Kharagpur,Govt,2025,18.23,868,941,943,943,942,0,0,609,569,569,589,492,0,1471,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9523,2706,597,3303,469,22820,14,331,1677,0,1237,0,771,2942,598,3540,453,3080,7,293,1804,0.0,2097,0,0,2078,413,2491,415,2052,24,270,1393,0,1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9334,3409,0,3409,3769,2828,2926,0,0,9523,9334,0.9801533130316077,1608,27952,45,894,4874,4997.0,0.17227340904221128,2.994643239768588,0.004821084208270838,0.09577887293764731,0.5221769873580459,0.5353546175273195,3409
6,Indian Institute of Technology,Roorkee,Govt,2025,17.75,601,1100,1100,1100,1143,0,0,0,0,0,0,0,0,961,883,0,0,0,0,0,0,0,0,0,0,223,216,216,173,145,0,7260,3563,899,4462,96,4361,5,443,2240,126,1992,1,564,0,0,0,0,0,0,0,0,,0,0,0,1200,336,1536,57,1328,151,175,727,0,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,169,859,26,833,0,83,442,1,391,0,133,6857,2806,18,2824,4443,0,1844,0,973,7260,6857,0.9444903581267218,1404,6522,156,701,3409,,0.20475426571386904,0.9511448155169899,0.02275047396820767,0.10223129648534345,0.49715619075397405,,2824
7,Indian Institute of Technology,Hyderabad,Govt,2025,12.49,282,595,595,470,425,0,0,0,0,0,0,0,0,443,320,0,0,0,0,48,51,42,0,0,0,0,0,0,0,0,0,2989,1561,397,1958,670,1266,22,77,537,31,583,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,567,152,719,105,610,4,69,92,0,92,0,69,116,25,141,18,123,0,10,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2818,711,165,876,2085,0,763,141,0,2989,2818,0.942790230846437,574,1999,26,156,630,707.0,0.2036905606813343,0.7093683463449255,0.009226401703335699,0.05535841022001419,0.22356281050390348,0.2508871540099361,876
8,Indian Institute of Technology,Guwahati,Govt,2025,17.86,460,1008,1008,902,978,0,0,0,0,0,0,0,0,795,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5684,3084,830,3914,140,3759,15,1103,1963,0,1487,0,1579,0,0,0,0,0,0,0,0,0.0,0,0,0,1242,257,1499,69,1424,6,170,844,337,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5413,2146,174,2320,3896,0,1788,0,0,5684,5413,0.9523223082336383,1087,5183,21,1273,2807,1824.0,0.20081285793460188,0.9575096988730833,0.0038795492333271752,0.2351745797154997,0.5185664141880658,0.3369665619804175,2320
9,National Institute of Technology,Tiruchirapalli,Govt,2025,17.5,320,964,964,964,964,0,0,0,0,0,0,0,0,658,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5172,3337,950,4287,1858,2285,144,554,2216,68,2130,37,535,0,0,0,0,0,0,0,0,0.0,0,0,0,853,156,1009,78,926,5,146,589,5,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5296,649,172,821,3856,0,1316,0,0,5172,5296,1.0239752513534417,1106,3211,149,700,2805,2970.0,0.2088368580060423,0.6063066465256798,0.028134441087613295,0.13217522658610273,0.5296450151057401,0.5608006042296072,821
10,Indian Institute of Technology (Banaras Hindu University),Varanasi,Govt,2025,17.62,382,1163,1163,1163,1163,0,0,400,400,400,400,334,0,555,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7696,3663,897,4560,1048,3510,2,1219,2238,966,2291,200,0,1467,348,1815,367,1446,2,490,919,169.0,1173,67,0,682,138,820,189,625,6,236,486,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7195,1123,73,1196,4652,1934,1110,0,0,7696,7195,0.9349012474012474,1383,5581,10,1945,3643,5588.0,0.1922168172341904,0.775677553856845,0.001389854065323141,0.27032661570535094,0.5063238359972203,0.7766504517025712,1196
